order,hash_id,prompt_id,prompt_sha1,cond_name,seed,is_duplicate,orig_hash_id,mirror_h,flip_v,hue_shift_deg,sat_factor,lum_factor,noise_sigma,src_path
143,6b6c555e5189,S10_synthwave,25147e923b,blockshuf_neg_2x,1337,0,6b6c555e5189,1,0,1.58,0.6694,0.9625,1.29,S10_synthwave_blockshuf_neg_2x_seed1337_00001_.png
144,5d07ec9a1866,S10_synthwave,25147e923b,baseline,777,0,5d07ec9a1866,1,1,-80.96,1.4893,1.1087,3.72,S10_synthwave_baseline_seed777_00001_.png
145,6b65c1fbf6ab,S06_pastel,61861c7677,baseline,1337,1,47a6381f0097,0,0,-6.01,0.9029,0.926,1.39,S06_pastel_baseline_seed1337_00001_.png
146,b9e6bf79dce6,S03_cyberpunk,6ab02b69aa,blockshuf_neg_1x,9999,0,b9e6bf79dce6,1,1,89.73,0.9512,1.1462,2.27,S03_cyberpunk_blockshuf_neg_1x_seed9999_00001_.png
147,5e605b1ae582,S04_gouache,6335032007,baseline,9999,0,5e605b1ae582,0,1,163.42,1.0676,0.8898,2.71,S04_gouache_baseline_seed9999_00001_.png
148,1f0a88ed21bd,S01_oil,6de4189f5e,baseline,777,1,fabc99507953,0,0,-76.58,1.2854,1.0859,2.73,S01_oil_baseline_seed777_00001_.png
149,a28115c37587,S07_comic,69f4e68eba,baseline,777,0,a28115c37587,1,0,39.65,1.0906,1.1199,0.74,S07_comic_baseline_seed777_00001_.png
150,e9137242c507,S06_pastel,61861c7677,preset_pos_2x,9999,0,e9137242c507,1,0,3.27,1.5177,1.0113,1.4,S06_pastel_preset_pos_2x_seed9999_00001_.png
151,bf4511689c47,S01_oil,6de4189f5e,preset_pos_2x,1337,0,bf4511689c47,0,1,-94.55,1.5585,0.865,0.73,S01_oil_preset_pos_2x_seed1337_00001_.png
152,f95730b9df37,S04_gouache,6335032007,preset_pos_2x,4242145,0,f95730b9df37,0,0,-136.5,1.4128,1.0181,1.57,S04_gouache_preset_pos_2x_seed4242145_00001_.png
153,7e0813835760,S03_cyberpunk,6ab02b69aa,baseline,1337,1,22bfe75ef216,0,0,-17.68,1.4931,1.0987,3.96,S03_cyberpunk_baseline_seed1337_00001_.png
154,a32eb71250d9,S05_pencil,9a68323a39,baseline,1337,0,a32eb71250d9,1,0,110.25,1.3789,0.9361,3.31,S05_pencil_baseline_seed1337_00001_.png
155,65633c1ba38d,S07_comic,69f4e68eba,preset_pos_2x,777,0,65633c1ba38d,1,1,63.26,1.1314,1.0101,3.23,S07_comic_preset_pos_2x_seed777_00001_.png
156,d10e4df04dd4,S10_synthwave,25147e923b,blockshuf_neg_2x,42,0,d10e4df04dd4,0,0,-100.23,1.0122,1.1065,2.81,S10_synthwave_blockshuf_neg_2x_seed42_00001_.png
157,e56b7a0587ad,S01_oil,6de4189f5e,preset_pos_2x,9999,0,e56b7a0587ad,1,1,14.82,1.546,1.0429,2.87,S01_oil_preset_pos_2x_seed9999_00001_.png
158,41b70a4545f2,S08_papercraft,17e466c859,baseline,777,0,41b70a4545f2,1,0,-65.24,1.4298,1.0952,2.38,S08_papercraft_baseline_seed777_00001_.png
159,f9e7b21e6b6e,S05_pencil,9a68323a39,blockshuf_neg_2x,777,0,f9e7b21e6b6e,1,1,-51.58,1.2503,1.0093,1.4,S05_pencil_blockshuf_neg_2x_seed777_00001_.png
160,9bb0c0ec174d,S08_papercraft,17e466c859,baseline,4242145,0,9bb0c0ec174d,0,1,146.86,0.6764,0.9049,0.95,S08_papercraft_baseline_seed4242145_00001_.png
161,4d020f77dd06,S08_papercraft,17e466c859,blockshuf_neg_2x,4242145,0,4d020f77dd06,1,0,-37.48,1.1498,0.9915,2.83,S08_papercraft_blockshuf_neg_2x_seed4242145_00001_.png
162,21af961584c9,S08_papercraft,17e466c859,blockshuf_neg_1x,42,0,21af961584c9,1,1,7.4,0.8417,0.9827,3.15,S08_papercraft_blockshuf_neg_1x_seed42_00001_.png
163,5c264918b874,S06_pastel,61861c7677,blockshuf_neg_2x,4242145,0,5c264918b874,1,1,38.75,1.376,0.9789,1.92,S06_pastel_blockshuf_neg_2x_seed4242145_00001_.png
164,f02ded303f4a,S04_gouache,6335032007,preset_pos_2x,42,0,f02ded303f4a,0,0,-73.78,0.8114,1.1434,1.88,S04_gouache_preset_pos_2x_seed42_00001_.png
165,adf791913d20,S06_pastel,61861c7677,blockshuf_neg_2x,777,0,adf791913d20,0,1,115.64,0.6681,1.0127,3.6,S06_pastel_blockshuf_neg_2x_seed777_00001_.png
166,8f62adbe3708,S09_fresco,9e81add78f,preset_pos_2x,1337,0,8f62adbe3708,1,1,6.29,1.0297,0.9711,0.78,S09_fresco_preset_pos_2x_seed1337_00001_.png
167,1f2c79349598,S04_gouache,6335032007,baseline,4242145,1,0ce3bdc49b6f,0,0,-72.09,1.3299,1.0757,2.05,S04_gouache_baseline_seed4242145_00001_.png
168,ecc20d62336f,S08_papercraft,17e466c859,preset_pos_2x,42,0,ecc20d62336f,0,0,57.83,1.2876,1.1198,3.78,S08_papercraft_preset_pos_2x_seed42_00001_.png
169,26c5e8d21ea2,S09_fresco,9e81add78f,blockshuf_neg_2x,4242145,0,26c5e8d21ea2,0,0,-170.91,0.9394,0.9396,3.75,S09_fresco_blockshuf_neg_2x_seed4242145_00001_.png
170,56ce19578c63,S06_pastel,61861c7677,preset_pos_2x,4242145,0,56ce19578c63,1,1,-150.62,0.8097,0.909,2.78,S06_pastel_preset_pos_2x_seed4242145_00001_.png
171,002fb4e347ce,S07_comic,69f4e68eba,blockshuf_neg_1x,9999,0,002fb4e347ce,0,1,-142.35,0.6925,1.0901,2.85,S07_comic_blockshuf_neg_1x_seed9999_00001_.png
172,a46fb4dfa4b7,S09_fresco,9e81add78f,preset_pos_2x,42,0,a46fb4dfa4b7,1,1,157.38,0.6785,1.0163,2.39,S09_fresco_preset_pos_2x_seed42_00001_.png
173,65b13599caa4,S04_gouache,6335032007,blockshuf_neg_1x,9999,0,65b13599caa4,1,1,84.71,0.7896,1.1113,2.19,S04_gouache_blockshuf_neg_1x_seed9999_00001_.png
174,c72c0e709f96,S07_comic,69f4e68eba,baseline,42,0,c72c0e709f96,0,0,18.54,0.7341,1.0571,2.29,S07_comic_baseline_seed42_00001_.png
175,d053850b417b,S02_linocut,e20e86ac75,blockshuf_neg_1x,777,0,d053850b417b,1,0,-74.02,1.3887,1.0572,1.0,S02_linocut_blockshuf_neg_1x_seed777_00001_.png
176,fa988a6fbd19,S02_linocut,e20e86ac75,blockshuf_neg_2x,777,0,fa988a6fbd19,1,1,-51.92,0.9424,0.9819,1.88,S02_linocut_blockshuf_neg_2x_seed777_00001_.png
177,307ff5b7e9a5,S06_pastel,61861c7677,baseline,777,0,307ff5b7e9a5,1,1,133.17,1.2783,1.0131,1.85,S06_pastel_baseline_seed777_00001_.png
178,e84573092097,S06_pastel,61861c7677,blockshuf_neg_1x,4242145,0,e84573092097,1,0,165.86,0.9368,1.0128,2.41,S06_pastel_blockshuf_neg_1x_seed4242145_00001_.png
179,e687f90ed339,S01_oil,6de4189f5e,blockshuf_neg_1x,4242145,0,e687f90ed339,0,0,-162.22,1.5577,1.0228,1.25,S01_oil_blockshuf_neg_1x_seed4242145_00001_.png
180,b49e9d58b910,S01_oil,6de4189f5e,blockshuf_neg_2x,777,0,b49e9d58b910,0,0,11.48,1.1367,0.9607,0.25,S01_oil_blockshuf_neg_2x_seed777_00001_.png
181,d744f2f64c39,S06_pastel,61861c7677,blockshuf_neg_1x,42,0,d744f2f64c39,0,1,115.67,1.1925,1.1482,0.2,S06_pastel_blockshuf_neg_1x_seed42_00001_.png
182,cb8c46bbc004,S10_synthwave,25147e923b,baseline,1337,0,cb8c46bbc004,1,0,67.25,1.3441,0.8833,0.69,S10_synthwave_baseline_seed1337_00001_.png
183,185b4400d07c,S01_oil,6de4189f5e,blockshuf_neg_2x,1337,0,185b4400d07c,1,1,21.35,0.9993,1.1325,0.8,S01_oil_blockshuf_neg_2x_seed1337_00001_.png
184,f9c6709c826f,S10_synthwave,25147e923b,baseline,9999,0,f9c6709c826f,0,0,59.88,0.9774,0.9184,1.58,S10_synthwave_baseline_seed9999_00001_.png
185,2da040e126ab,S08_papercraft,17e466c859,preset_pos_2x,777,0,2da040e126ab,1,0,130.15,1.5991,0.861,1.27,S08_papercraft_preset_pos_2x_seed777_00001_.png
186,7da1760a3163,S07_comic,69f4e68eba,baseline,9999,1,396d6d3960e9,0,0,-106.68,1.5526,0.8982,3.37,S07_comic_baseline_seed9999_00001_.png
187,31a2a390efff,S01_oil,6de4189f5e,blockshuf_neg_1x,1337,0,31a2a390efff,1,0,-113.6,1.0419,1.1118,3.07,S01_oil_blockshuf_neg_1x_seed1337_00001_.png
188,c749e9dcbfcd,S10_synthwave,25147e923b,baseline,4242145,0,c749e9dcbfcd,0,0,-41.94,1.2749,0.8818,3.54,S10_synthwave_baseline_seed4242145_00001_.png
189,5c1c57c8c90a,S04_gouache,6335032007,blockshuf_neg_1x,42,0,5c1c57c8c90a,0,1,55.8,1.364,1.1193,2.97,S04_gouache_blockshuf_neg_1x_seed42_00001_.png
190,005bbe2c22c1,S07_comic,69f4e68eba,blockshuf_neg_2x,9999,0,005bbe2c22c1,0,1,44.36,1.139,1.1162,2.76,S07_comic_blockshuf_neg_2x_seed9999_00001_.png
191,1d8812eda379,S01_oil,6de4189f5e,baseline,9999,0,1d8812eda379,0,1,-171.52,1.4251,1.0111,2.81,S01_oil_baseline_seed9999_00001_.png
192,6b5b8c5dc5d8,S02_linocut,e20e86ac75,baseline,777,1,0d485d19432f,0,1,-54.6,1.4922,1.0832,0.93,S02_linocut_baseline_seed777_00001_.png
193,40af44b7ef2d,S04_gouache,6335032007,blockshuf_neg_1x,4242145,0,40af44b7ef2d,1,1,-44.82,1.4533,1.0877,2.84,S04_gouache_blockshuf_neg_1x_seed4242145_00001_.png
194,0359926b1871,S09_fresco,9e81add78f,blockshuf_neg_2x,1337,0,0359926b1871,0,0,115.11,1.3219,0.9729,0.32,S09_fresco_blockshuf_neg_2x_seed1337_00001_.png
195,8ac5aa8df086,S09_fresco,9e81add78f,blockshuf_neg_1x,777,0,8ac5aa8df086,1,0,163.84,1.233,0.9751,1.34,S09_fresco_blockshuf_neg_1x_seed777_00001_.png
196,44280e73fb2a,S07_comic,69f4e68eba,blockshuf_neg_1x,42,0,44280e73fb2a,1,1,165.57,1.06,1.1281,1.32,S07_comic_blockshuf_neg_1x_seed42_00001_.png
197,e6f9a07de983,S04_gouache,6335032007,baseline,1337,0,e6f9a07de983,1,0,-95.73,1.0648,1.0741,0.91,S04_gouache_baseline_seed1337_00001_.png
198,52b0675e212b,S07_comic,69f4e68eba,preset_pos_2x,9999,0,52b0675e212b,0,0,9.23,1.2901,0.9353,1.9,S07_comic_preset_pos_2x_seed9999_00001_.png
199,4bdbfd375e1a,S10_synthwave,25147e923b,preset_pos_2x,42,0,4bdbfd375e1a,0,0,-139.3,1.5662,1.0727,3.33,S10_synthwave_preset_pos_2x_seed42_00001_.png
200,209b2c5715f5,S07_comic,69f4e68eba,baseline,1337,0,209b2c5715f5,0,1,7.76,0.602,1.0714,3.37,S07_comic_baseline_seed1337_00001_.png
201,c934608dce1a,S07_comic,69f4e68eba,blockshuf_neg_2x,42,0,c934608dce1a,1,0,155.1,0.6882,1.0023,0.97,S07_comic_blockshuf_neg_2x_seed42_00001_.png
202,f86705feff38,S02_linocut,e20e86ac75,blockshuf_neg_2x,9999,0,f86705feff38,0,0,62.79,1.5076,1.1056,2.61,S02_linocut_blockshuf_neg_2x_seed9999_00001_.png
203,922f25990138,S10_synthwave,25147e923b,blockshuf_neg_2x,777,0,922f25990138,0,0,63.3,1.2199,1.1435,1.83,S10_synthwave_blockshuf_neg_2x_seed777_00001_.png
204,e8359e9da943,S04_gouache,6335032007,blockshuf_neg_1x,777,0,e8359e9da943,1,1,-125.57,0.8923,1.1208,1.87,S04_gouache_blockshuf_neg_1x_seed777_00001_.png
205,69bd7e51caf3,S09_fresco,9e81add78f,baseline,777,1,3fa0840c66c9,0,0,133.99,0.9591,1.0099,3.97,S09_fresco_baseline_seed777_00001_.png
206,90d655d2ed98,S01_oil,6de4189f5e,preset_pos_2x,777,0,90d655d2ed98,1,0,-31.05,1.5799,0.9439,2.88,S01_oil_preset_pos_2x_seed777_00001_.png
207,413a7ca48513,S04_gouache,6335032007,blockshuf_neg_2x,1337,0,413a7ca48513,1,0,-173.86,0.7611,0.914,2.12,S04_gouache_blockshuf_neg_2x_seed1337_00001_.png
208,baa48baa8261,S03_cyberpunk,6ab02b69aa,blockshuf_neg_1x,42,0,baa48baa8261,0,0,22.48,0.8619,1.1071,1.64,S03_cyberpunk_blockshuf_neg_1x_seed42_00001_.png
209,ac7726e4cc25,S08_papercraft,17e466c859,blockshuf_neg_1x,9999,0,ac7726e4cc25,1,1,174.63,1.5319,0.9006,3.46,S08_papercraft_blockshuf_neg_1x_seed9999_00001_.png
210,cd9a7dae564b,S03_cyberpunk,6ab02b69aa,baseline,42,1,b6ca42067d86,1,1,54.9,1.3084,1.1041,3.03,S03_cyberpunk_baseline_seed42_00001_.png
211,c8538030eb57,S02_linocut,e20e86ac75,preset_pos_2x,777,0,c8538030eb57,0,1,80.12,1.1899,0.9035,0.3,S02_linocut_preset_pos_2x_seed777_00001_.png
212,b758e9654faa,S07_comic,69f4e68eba,blockshuf_neg_1x,777,0,b758e9654faa,1,1,-166.04,1.1404,1.1365,1.65,S07_comic_blockshuf_neg_1x_seed777_00001_.png
213,8f1ef41cc450,S05_pencil,9a68323a39,preset_pos_2x,4242145,0,8f1ef41cc450,1,0,-132.96,0.6669,0.8541,3.2,S05_pencil_preset_pos_2x_seed4242145_00001_.png
214,2ec566e9d681,S04_gouache,6335032007,blockshuf_neg_2x,4242145,0,2ec566e9d681,1,1,105.5,0.69,1.03,3.49,S04_gouache_blockshuf_neg_2x_seed4242145_00001_.png
215,cc6369924a7b,S07_comic,69f4e68eba,preset_pos_2x,1337,0,cc6369924a7b,1,0,-124.99,0.6144,1.106,2.6,S07_comic_preset_pos_2x_seed1337_00001_.png
216,8c1c9ad3cab5,S03_cyberpunk,6ab02b69aa,blockshuf_neg_2x,1337,0,8c1c9ad3cab5,1,0,151.99,1.121,1.1007,2.7,S03_cyberpunk_blockshuf_neg_2x_seed1337_00001_.png
217,1302c2c4e3ea,S03_cyberpunk,6ab02b69aa,preset_pos_2x,9999,0,1302c2c4e3ea,0,0,-2.99,0.9682,1.1315,3.41,S03_cyberpunk_preset_pos_2x_seed9999_00001_.png
218,f1d2fa8480c4,S08_papercraft,17e466c859,blockshuf_neg_2x,9999,0,f1d2fa8480c4,1,1,-119.9,1.1951,1.0194,2.59,S08_papercraft_blockshuf_neg_2x_seed9999_00001_.png
219,3d2388463d40,S09_fresco,9e81add78f,blockshuf_neg_2x,9999,0,3d2388463d40,0,1,52.06,1.4685,0.976,0.89,S09_fresco_blockshuf_neg_2x_seed9999_00001_.png
220,9f1336d48011,S08_papercraft,17e466c859,baseline,9999,1,8c21d89409b9,1,0,167.73,1.3789,1.0287,0.25,S08_papercraft_baseline_seed9999_00001_.png
